time,rpm,maf,map,boost,coolant,intake,speed,timing
2026-06-05T12:19:44.941278,905,,100,,83,38,,0.5
2026-06-05T12:19:48.256761,903,8.68,,,83,38,,
2026-06-05T12:19:51.544945,1404,14.620000000000001,104,0.04,83,,,-2.0
2026-06-05T12:26:25.328341,905,,,,,,,,
2026-06-05T12:27:47.156435,904,,100,,91,,,0.5,
2026-06-05T12:27:50.084373,899,8.66,101,0.01,91,42,,,
2026-06-05T12:27:52.796366,909,,101,0.01,91,42,,-0.5,
2026-06-05T12:27:55.484493,1096,10.38,102,0.02,91,42,,,
2026-06-05T12:27:58.596477,963,,101,0.01,,,,,
2026-06-05T12:28:01.252521,994,7.54,102,0.02,91,,,0.5,
2026-06-05T12:28:04.200397,987,13.58,107,0.07,91,43,9,-0.5,
2026-06-05T12:28:06.768545,1263,12.52,104,0.04,91,43,11,-0.5,
2026-06-05T12:28:09.388517,1205,9.94,103,0.03,91,43,8,,
2026-06-05T12:28:11.948472,904,8.18,101,0.01,91,43,3,,
2026-06-05T12:28:14.472395,866,9.700000000000001,101,0.01,91,43,3,1.0,
2026-06-05T12:28:17.180385,1021,17.1,111,0.11,91,43,11,,
2026-06-05T12:28:19.832567,1917,26.62,121,0.21,91,,17,,
2026-06-05T12:28:22.496515,1057,,109,0.09,91,43,20,4.0,
2026-06-05T12:28:25.064538,1931,40.84,162,0.62,91,43,31,-0.5,
2026-06-05T12:28:28.272354,1209,12.88,108,0.08,91,44,29,-0.5,
2026-06-05T12:28:30.800647,940,8.8,104,0.04,91,44,26,,
2026-06-05T12:28:33.464056,1051,11.6,103,0.03,91,,26,6.5,
2026-06-05T12:28:36.384513,1306,24.3,130,0.3,91,43,,,
2026-06-05T12:28:39.128539,910,12.66,102,0.02,,43,32,8.0,
2026-06-05T12:28:41.700389,1634,39.9,180,0.8,90,43,45,5.0,
2026-06-05T12:28:44.780408,2306,68.54,217,1.17,90,45,,-1.0,
2026-06-05T12:28:47.920462,1795,45.88,192,0.92,89,46,65,,
2026-06-05T12:28:50.468325,2113,46.38,193,0.93,89,48,75,6.5,
2026-06-05T12:28:53.436505,2069,27.52,136,0.36,89,50,79,0.5,
2026-06-05T12:28:55.952457,896,7.62,103,0.03,88,50,73,0.5,
2026-06-05T12:28:59.316409,886,8.8,101,0.01,,,,0.5,
2026-06-05T12:29:01.972385,886,8.46,101,0.01,88,49,,,
2026-06-05T12:29:04.668433,900,8.74,,,88,48,40,2.5,
2026-06-05T12:29:07.368358,1233,22.42,129,0.29,,48,45,2.0,
2026-06-05T12:29:10.312458,1450,28.54,143,0.43,87,47,52,6.5,
2026-06-05T12:29:13.448314,1698,26.240000000000002,139,0.39,86,47,,,
2026-06-05T12:29:16.348471,1678,33.68,148,0.48,86,47,60,4.0,
2026-06-05T12:29:18.860351,1846,43.82,178,0.78,86,47,66,6.0,
2026-06-05T12:29:21.908551,2238,71.14,248,1.48,85,48,,,
2026-06-05T12:29:24.444493,919,7.62,107,0.07,85,50,67,0.5,
2026-06-05T12:29:27.356469,901,8.38,102,0.02,85,49,56,,
2026-06-05T12:29:29.872365,898,8.02,101,0.01,85,49,45,0.5,
2026-06-05T12:29:32.536387,892,8.16,,,85,48,34,0.5,
2026-06-05T12:29:35.344706,894,,101,0.01,85,48,23,,
2026-06-05T12:29:37.888481,896,8.34,101,0.01,85,47,20,0.5,
2026-06-05T12:29:40.428312,906,8.3,101,0.01,85,47,17,,
2026-06-05T12:29:42.968553,989,12.52,102,0.02,85,46,16,,
2026-06-05T12:29:45.784407,1170,14.26,108,0.08,84,46,,,
2026-06-05T12:29:48.300368,1026,9.68,110,0.1,84,46,23,,
2026-06-05T12:29:51.284469,993,,105,0.05,84,,,0.5,
2026-06-05T12:29:54.184434,1094,14.32,109,0.09,84,45,27,-0.5,
2026-06-05T12:29:56.724389,1123,14.08,108,0.08,84,44,27,-0.5,
2026-06-05T12:29:59.392452,1160,,108,0.08,84,44,28,-0.5,
2026-06-05T12:30:02.092449,1193,15.34,108,0.08,,44,29,-1.0,
2026-06-05T12:30:04.809122,1254,15.34,110,0.1,84,,31,-1.5,
2026-06-05T12:30:07.324392,1302,15.08,109,0.09,84,43,31,-1.0,
2026-06-05T12:30:09.988411,1328,,109,0.09,84,43,32,-1.5,
2026-06-05T12:30:12.556353,1315,13.6,107,0.07,84,43,31,-1.0,
2026-06-05T12:30:15.648428,1240,12.540000000000001,105,0.05,84,43,29,,
2026-06-05T12:30:18.324417,904,8.540000000000001,102,0.02,83,43,18,,
2026-06-05T12:30:20.832497,902,8.02,101,0.01,83,42,13,,
2026-06-05T12:30:23.392554,898,8.620000000000001,101,0.01,83,42,4,,
2026-06-05T12:30:26.060425,903,13.08,102,0.02,83,42,,,
2026-06-05T12:30:28.724753,1092,14.120000000000001,,,83,42,8,0.5,
2026-06-05T12:30:31.704404,901,8.38,101,0.01,83,42,,,
